#format EasyOneArgoTSLite
#creation_date 2026-03-16T04:30:37Z
#creation_centre Ifremer
#creation_centre_pid https://ror.org/044jxhp58
#data_source_doi https://doi.org/10.17882/42182#126945
#data_centre AO
#platform_number 3901161
#cycle_number 69
#direction_of_profile A
#data_mode D
#profile_date 2014-03-22T11:38:42Z
#profile_latitude 0.357
#profile_longitude -106.772
#pressure =  sea water pressure equals 0 at sea-level
#temperature = sea temperature in-situ ITS-90 scale
#salinity = practical salinity
pressure (decibar),temperature (degree_celsius),salinity (dimensionless),pressure_error (decibar),temperature_error (degree_celsius),salinity_error (dimensionless)
2.00,28.225,33.806,2.42,0.005,0.010
5.00,28.231,33.806,2.42,0.005,0.010
10.00,28.207,33.807,2.42,0.005,0.010
15.00,27.678,33.949,2.42,0.005,0.016
20.00,26.851,34.174,2.42,0.005,0.012
25.00,26.177,34.471,2.42,0.005,0.019
30.00,24.945,34.646,2.42,0.005,0.019
35.00,24.152,34.808,2.42,0.005,0.012
40.00,23.747,34.859,2.42,0.005,0.010
45.00,23.500,34.919,2.42,0.007,0.010
50.00,23.222,34.911,2.42,0.007,0.010
55.00,22.936,34.895,2.42,0.007,0.010
60.00,22.595,34.892,2.42,0.007,0.023
65.00,20.713,34.893,2.42,0.007,0.025
70.00,20.025,34.922,2.42,0.007,0.020
75.00,19.156,34.893,2.42,0.007,0.015
80.00,18.165,34.881,2.42,0.007,0.034
85.00,17.128,34.957,2.42,0.007,0.017
90.00,16.385,34.894,2.42,0.003,0.011
95.00,15.730,34.834,2.42,0.004,0.022
100.00,15.385,34.831,2.42,0.004,0.010
105.00,15.336,34.851,2.42,0.004,0.010
110.00,14.961,34.840,2.42,0.004,0.010
115.00,14.774,34.855,2.42,0.004,0.010
120.00,14.454,34.828,2.42,0.004,0.010
125.00,14.255,34.855,2.42,0.004,0.010
130.00,14.221,34.909,2.42,0.004,0.010
135.00,14.101,34.908,2.42,0.004,0.010
140.00,13.918,34.906,2.42,0.004,0.010
145.00,13.902,34.908,2.42,0.003,0.010
150.00,13.901,34.916,2.42,0.003,0.010
155.00,13.910,34.927,2.42,0.003,0.010
160.00,13.905,34.943,2.42,0.003,0.010
165.00,13.824,34.939,2.42,0.003,0.010
170.00,13.757,34.959,2.42,0.003,0.010
175.00,13.692,34.961,2.42,0.003,0.010
180.00,13.627,34.960,2.42,0.003,0.010
185.00,13.555,34.955,2.42,0.003,0.010
190.00,13.486,34.947,2.42,0.003,0.010
195.00,13.434,34.940,2.42,0.003,0.010
200.00,13.380,34.933,2.42,0.003,0.010
205.00,13.312,34.927,2.42,0.003,0.010
210.00,13.246,34.921,2.42,0.003,0.010
215.00,13.228,34.924,2.42,0.003,0.010
220.00,13.181,34.921,2.42,0.003,0.010
225.00,13.156,34.922,2.42,0.003,0.010
230.00,13.128,34.923,2.42,0.003,0.010
235.00,13.065,34.917,2.42,0.003,0.010
240.00,13.007,34.912,2.42,0.003,0.010
245.00,12.899,34.903,2.42,0.003,0.010
250.00,12.840,34.895,2.42,0.003,0.010
260.00,,,2.42,,
270.00,,,2.42,,
280.00,,,2.42,,
290.00,,,2.42,,
300.00,,,2.42,,
310.00,,,2.42,,
320.00,,,2.42,,
330.00,,,2.42,,
340.00,,,2.42,,
350.00,,,2.42,,
375.00,,,2.42,,
400.00,,,2.42,,
425.00,,,2.42,,
450.00,,,2.42,,
475.00,,,2.42,,
500.00,,,2.42,,
550.00,,,2.42,,
600.00,,,2.42,,
650.00,,,2.42,,
700.00,,,2.42,,
750.00,,,2.42,,
800.00,,,2.42,,
850.00,,,2.42,,
900.00,,,2.42,,
950.00,,,2.42,,
1000.00,,,2.42,,
1100.00,,,2.42,,
1200.00,,,2.42,,
1300.00,,,2.42,,
1400.00,,,2.42,,
1500.00,,,2.42,,
1600.00,,,2.42,,
1700.00,,,2.42,,
1800.00,,,2.42,,
1900.00,,,2.42,,
2000.00,,,2.42,,
2200.00,,,2.42,,
2400.00,,,2.42,,
2600.00,,,2.42,,
2800.00,,,2.42,,
3000.00,,,2.42,,
3200.00,,,2.42,,
3400.00,,,2.42,,
3600.00,,,2.42,,
3800.00,,,2.42,,
4000.00,,,2.42,,
4200.00,,,2.42,,
4400.00,,,2.42,,
4600.00,,,2.42,,
4800.00,,,2.42,,
5000.00,,,2.42,,
5200.00,,,2.42,,
5400.00,,,2.42,,
5600.00,,,2.42,,
5800.00,,,2.42,,
6000.00,,,2.42,,
