#format EasyOneArgoTSLite
#creation_date 2026-03-16T04:30:37Z
#creation_centre Ifremer
#creation_centre_pid https://ror.org/044jxhp58
#data_source_doi https://doi.org/10.17882/42182#126945
#data_centre AO
#platform_number 3901161
#cycle_number 623
#direction_of_profile A
#data_mode D
#profile_date 2015-07-17T01:00:57Z
#profile_latitude -0.101
#profile_longitude -106.269
#pressure =  sea water pressure equals 0 at sea-level
#temperature = sea temperature in-situ ITS-90 scale
#salinity = practical salinity
pressure (decibar),temperature (degree_celsius),salinity (dimensionless),pressure_error (decibar),temperature_error (degree_celsius),salinity_error (dimensionless)
2.00,27.613,34.364,2.42,0.004,0.010
5.00,27.613,34.363,2.42,0.004,0.010
10.00,27.589,34.372,2.42,0.004,0.010
15.00,27.200,34.519,2.42,0.004,0.014
20.00,26.416,34.792,2.42,0.004,0.010
25.00,25.999,34.855,2.42,0.004,0.010
30.00,25.589,34.857,2.42,0.004,0.011
35.00,25.045,34.829,2.42,0.004,0.010
40.00,24.491,34.836,2.42,0.003,0.020
45.00,23.246,34.848,2.42,0.005,0.026
50.00,22.325,34.835,2.42,0.005,0.024
55.00,20.917,34.848,2.42,0.005,0.024
60.00,20.061,34.863,2.42,0.005,0.015
65.00,19.451,34.874,2.42,0.005,0.010
70.00,19.265,34.888,2.42,0.005,0.010
75.00,18.992,34.902,2.42,0.005,0.010
80.00,18.856,34.925,2.42,0.005,0.010
85.00,18.732,34.934,2.42,0.005,0.010
90.00,18.616,34.952,2.42,0.004,0.010
95.00,18.635,34.980,2.42,0.004,0.010
100.00,18.685,35.014,2.42,0.004,0.010
105.00,18.761,35.052,2.42,0.004,0.010
110.00,18.856,35.099,2.42,0.004,0.010
115.00,19.092,35.236,2.42,0.004,0.010
120.00,19.148,35.361,2.42,0.004,0.010
125.00,18.627,35.326,2.42,0.004,0.024
130.00,17.705,35.203,2.42,0.004,0.023
135.00,16.972,35.128,2.42,0.004,0.010
140.00,16.660,35.149,2.42,0.003,0.014
145.00,16.222,35.056,2.42,0.004,0.010
150.00,16.174,35.141,2.42,0.004,0.010
155.00,15.839,35.102,2.42,0.004,0.010
160.00,15.534,35.051,2.42,0.004,0.010
165.00,15.094,34.995,2.42,0.004,0.010
170.00,14.901,35.027,2.42,0.004,0.010
175.00,14.768,35.043,2.42,0.004,0.010
180.00,14.590,35.045,2.42,0.004,0.010
185.00,14.200,35.022,2.42,0.004,0.010
190.00,14.004,35.004,2.42,0.003,0.010
195.00,13.921,34.992,2.42,0.003,0.010
200.00,13.775,34.974,2.42,0.003,0.010
205.00,13.680,34.965,2.42,0.003,0.010
210.00,13.439,34.950,2.42,0.003,0.010
215.00,13.309,34.933,2.42,0.003,0.010
220.00,13.156,34.918,2.42,0.003,0.010
225.00,13.069,34.907,2.42,0.003,0.010
230.00,13.048,34.911,2.42,0.003,0.010
235.00,13.033,34.914,2.42,0.003,0.010
240.00,12.995,34.911,2.42,0.003,0.010
245.00,12.965,34.908,2.42,0.003,0.010
250.00,12.924,34.905,2.42,0.003,0.010
260.00,12.851,34.902,2.42,0.003,0.010
270.00,,,2.42,,
280.00,,,2.42,,
290.00,,,2.42,,
300.00,,,2.42,,
310.00,,,2.42,,
320.00,,,2.42,,
330.00,,,2.42,,
340.00,,,2.42,,
350.00,,,2.42,,
375.00,,,2.42,,
400.00,,,2.42,,
425.00,,,2.42,,
450.00,,,2.42,,
475.00,,,2.42,,
500.00,,,2.42,,
550.00,,,2.42,,
600.00,,,2.42,,
650.00,,,2.42,,
700.00,,,2.42,,
750.00,,,2.42,,
800.00,,,2.42,,
850.00,,,2.42,,
900.00,,,2.42,,
950.00,,,2.42,,
1000.00,,,2.42,,
1100.00,,,2.42,,
1200.00,,,2.42,,
1300.00,,,2.42,,
1400.00,,,2.42,,
1500.00,,,2.42,,
1600.00,,,2.42,,
1700.00,,,2.42,,
1800.00,,,2.42,,
1900.00,,,2.42,,
2000.00,,,2.42,,
2200.00,,,2.42,,
2400.00,,,2.42,,
2600.00,,,2.42,,
2800.00,,,2.42,,
3000.00,,,2.42,,
3200.00,,,2.42,,
3400.00,,,2.42,,
3600.00,,,2.42,,
3800.00,,,2.42,,
4000.00,,,2.42,,
4200.00,,,2.42,,
4400.00,,,2.42,,
4600.00,,,2.42,,
4800.00,,,2.42,,
5000.00,,,2.42,,
5200.00,,,2.42,,
5400.00,,,2.42,,
5600.00,,,2.42,,
5800.00,,,2.42,,
6000.00,,,2.42,,
