pressure (decibar),temperature (degree_celsius),salinity (dimensionless),pressure_error (decibar),temperature_error (degree_celsius),salinity_error (dimensionless),meta_format,meta_creation_date,meta_creation_centre,meta_creation_centre_pid,meta_data_source_doi,meta_data_centre,meta_platform_number,meta_cycle_number,meta_direction_of_profile,meta_data_mode,meta_profile_date,meta_profile_latitude,meta_profile_longitude,meta_pressure,meta_temperature,meta_salinity
2.0,27.643,34.076,2.42,0.003,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
5.0,27.636,34.077,2.42,0.003,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
10.0,27.528,34.076,2.42,0.003,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
15.0,27.435,34.071,2.42,0.003,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
20.0,27.424,34.071,2.42,0.003,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
25.0,27.414,34.073,2.42,0.003,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
30.0,27.406,34.074,2.42,0.003,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
35.0,27.399,34.074,2.42,0.003,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
40.0,27.395,34.076,2.42,0.01,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
45.0,27.387,34.081,2.42,0.01,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
50.0,27.368,34.095,2.42,0.01,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
55.0,26.578,34.341,2.42,0.01,0.029,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
60.0,24.792,34.604,2.42,0.01,0.036,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
65.0,23.178,34.706,2.42,0.01,0.046,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
70.0,20.207,34.714,2.42,0.01,0.078,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
75.0,19.083,34.756,2.42,0.01,0.038,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
80.0,17.475,34.721,2.42,0.01,0.017,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
85.0,16.725,34.68,2.42,0.01,0.016,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
90.0,16.281,34.664,2.42,0.004,0.016,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
95.0,15.748,34.634,2.42,0.004,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
100.0,15.28,34.623,2.42,0.004,0.019,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
105.0,14.442,34.641,2.42,0.004,0.019,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
110.0,14.037,34.69,2.42,0.004,0.019,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
115.0,13.359,34.76,2.42,0.004,0.012,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
120.0,13.057,34.773,2.42,0.004,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
125.0,12.81,34.788,2.42,0.004,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
130.0,12.594,34.784,2.42,0.004,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
135.0,12.52,34.804,2.42,0.004,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
140.0,12.447,34.806,2.42,0.003,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
145.0,12.267,34.8,2.42,0.003,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
150.0,12.187,34.798,2.42,0.003,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
155.0,12.014,34.787,2.42,0.003,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
160.0,11.92,34.782,2.42,0.003,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
165.0,11.785,34.775,2.42,0.003,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
170.0,11.734,34.774,2.42,0.003,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
175.0,11.603,34.764,2.42,0.003,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
180.0,11.49,34.761,2.42,0.003,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
185.0,11.374,34.758,2.42,0.003,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
190.0,11.252,34.749,2.42,0.003,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
195.0,11.192,34.749,2.42,0.003,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
200.0,11.142,34.751,2.42,0.003,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
205.0,11.051,34.745,2.42,0.003,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
210.0,11.028,34.744,2.42,0.003,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
215.0,10.978,34.743,2.42,0.003,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
220.0,10.919,34.743,2.42,0.003,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
225.0,10.832,34.74,2.42,0.003,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
230.0,10.766,34.737,2.42,0.003,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
235.0,10.738,34.735,2.42,0.003,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
240.0,10.721,34.734,2.42,0.003,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
245.0,10.701,34.733,2.42,0.003,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
250.0,10.67,34.733,2.42,0.003,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
260.0,10.534,34.726,2.42,0.003,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
270.0,10.419,34.722,2.42,0.003,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
280.0,10.22,34.71,2.42,0.003,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,3901161,1386,A,D,2017-02-09T23:29:42Z,6.144,-119.519,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
